📺央视频道,#genre#
CCTV-1(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-1(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225816/index.m3u8
CCTV-2(山东移动SNM[CDN]-1080P),http://ucdn.sd.chinamobile.com:8089/00/SNM/CHANNEL00000317/index.m3u8
CCTV-2(黑龙江移动[鸡西]-720P),http://39.134.66.66/PLTV/88888888/224/3221225599/index.m3u8
CCTV-3(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-3(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225799/index.m3u8
CCTV-4(黑龙江移动[CDN]-720P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV-4(黑龙江移动[鸡西]-720P),http://39.134.66.66/PLTV/88888888/224/3221225797/index.m3u8
CCTV-5(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV-5(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225818/index.m3u8
CCTV-5+(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-5+(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225507/index.m3u8
CCTV-5HD(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225674/index.m3u8
CCTV-6(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-6(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225814/index.m3u8
CCTV-7(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-7(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225671/index.m3u8
CCTV-8(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-8(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225795/index.m3u8
CCTV-9(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-9(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225676/index.m3u8
CCTV-10(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-10(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225677/index.m3u8
CCTV-11(黑龙江移动[CDN]-720P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-11(黑龙江移动[鸡西]-720P),http://39.134.66.66/PLTV/88888888/224/3221225517/index.m3u8
CCTV-12(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-12(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225669/index.m3u8
CCTV-13(黑龙江移动[CDN]-720P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-13(黑龙江移动[鸡西]-720P),http://39.134.66.66/PLTV/88888888/224/3221225812/index.m3u8
CCTV-14(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-14(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225674/index.m3u8
CCTV-15(黑龙江移动[CDN]-720P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-15(黑龙江移动[鸡西]-720P),http://39.134.66.66/PLTV/88888888/224/3221225513/index.m3u8
CCTV-17(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CCTV-17(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225708/index.m3u8
CGTN(黑龙江移动[CDN]-576P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225604/index.m3u8
CGTN(黑龙江移动[鸡西]-576P),http://39.134.66.66/PLTV/88888888/224/3221225510/index.m3u8
CETV-1(黑龙江移动[鸡西]-576P),http://39.134.66.66/PLTV/88888888/224/3221225563/index.m3u8
CETV-1(黑龙江移动[CDN]-576P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CHC动作电影(陕西移动[CDN]-1080P),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226465/index.m3u8
CHC高清电影(陕西移动[CDN]-1080P),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226463/index.m3u8
CHC家庭影院(陕西移动[CDN]-1080P),http://dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226462/index.m3u8
NewTV爱情喜剧(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225669/index.m3u8
NewTV爱情喜剧(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225533/index.m3u8
NewTV超级电视剧(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225716/index.m3u8
NewTV超级电视剧(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225637/index.m3u8
NewTV超级电影(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225717/index.m3u8
NewTV超级电影(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225644/index.m3u8
NewTV超级体育(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225715/index.m3u8
NewTV超级体育(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225635/index.m3u8
NewTV超级综艺(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225714/index.m3u8
NewTV超级综艺(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225642/index.m3u8
NewTV潮妈辣婆(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225685/index.m3u8
NewTV潮妈辣婆(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225542/index.m3u8
NewTV东北热剧(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225741/index.m3u8
NewTV东北热剧(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225679/index.m3u8
NewTV动作电影(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225661/index.m3u8
NewTV动作电影(黑龙江移动[鸡西]-1080P),http://39.134.66.66/PLTV/88888888/224/3221225555/index.m3u8
NewTV古装剧场(黑龙江移动[CDN]-1080P),http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225663/index.m3u8
