央视频道,#genre#
CCTV1,http://60.211.167.226:8888/newlive/live/hls/2/live.m3u8#http://222.173.147.142:8888/newlive/live/hls/2/live.m3u8#http://125.210.152.19:9123/live/hzgq-cctv1gq-h264.m3u8#http://222.188.68.38:8888/newlive/live/hls/2/live.m3u8#http://222.189.51.62:8888/newlive/live/hls/1/live.m3u8#http://112.6.117.141:9901/tsfile/live/0001_1.m3u8#http://111.207.22.10:8888/newlive/live/hls/12/live.m3u8#http://111.207.22.10:8888/newlive/live/hls/14/live.m3u8#http://221.210.64.165:2233/hls/8/index.m3u8#http://hls.cntv.kcdnvip.com/asp/hls/1200/0303000a/3/default/25137bd7c4494128bf0cba271974928f/1200.m3u8#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13_mud.m3u8?auth_key=1635962688#http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576803.m3u8#http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022573003.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225816/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225804/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://php.jdshipin.com:8880/bst.php?id=cctv2hd8m/8000000#http://222.173.147.142:8888/newlive/live/hls/3/live.m3u8#http://125.210.152.19:9123/live/hzgq-cctv2gq-h264.m3u8#http://222.188.68.38:8888/newlive/live/hls/3/live.m3u8#http://111.207.22.10:8888/newlive/live/hls/3/live.m3u8#http://14.29.76.30:9901/tsfile/live/1008_1.m3u8#http://101.71.176.182:8888/newlive/live/hls/3/live.m3u8#http://58.19.38.233:8888/newlive/live/hls/3/live.m3u8#http://36.96.38.246:8888/newlive/live/hls/3/live.m3u8#http://221.2.146.228:8888/newlive/live/hls/3/live.m3u8#http://220.163.178.144:8888/tsfile/live/0002_1.m3u8#http://60.211.167.226:8888/newlive/live/hls/3/live.m3u8#http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576703.m3u8#http://60.208.113.114:8001/newlive/live/hls/2/live.m3u8#http://211.142.218.74:9901/iptv/movie/cctv2.mp4?key=txiptv#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226195/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV3,http://60.211.167.226:8888/newlive/live/hls/4/live.m3u8#http://60.208.113.114:8001/newlive/live/hls/3/live.m3u8#http://222.188.68.38:8888/newlive/live/hls/4/live.m3u8#http://101.71.176.182:8888/newlive/live/hls/4/live.m3u8#http://111.207.22.10:8888/newlive/live/hls/4/live.m3u8#http://221.2.146.228:8888/newlive/live/hls/4/live.m3u8#http://112.6.117.141:9901/tsfile/live/0003_1.m3u8#http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576503.m3u8#http://36.96.38.246:8888/newlive/live/hls/4/live.m3u8#http://222.173.147.142:8888/newlive/live/hls/4/live.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225799/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://60.211.167.226:8888/newlive/live/hls/5/live.m3u8#http://222.173.147.142:8888/newlive/live/hls/5/live.m3u8#http://222.188.68.38:8888/newlive/live/hls/5/live.m3u8#http://222.189.51.62:8888/newlive/live/hls/4/live.m3u8#http://111.207.22.10:8888/newlive/live/hls/5/live.m3u8#http://101.71.176.182:8888/newlive/live/hls/5/live.m3u8#https://cd-live-stream.news.cctvplus.com/live/smil:CHANNEL1.smil/playlist.m3u8#https://live.goodiptv.club/api/cqyx.php?id=CCTV4K#http://36.96.38.246:8888/newlive/live/hls/5/live.m3u8#http://221.2.146.228:8888/newlive/live/hls/5/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226191/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://60.211.167.226:8888/newlive/live/hls/6/live.m3u8#http://222.188.68.38:8888/newlive/live/hls/6/live.m3u8#http://222.189.51.62:8888/newlive/live/hls/5/live.m3u8#http://101.71.176.182:8888/newlive/live/hls/6/live.m3u8#http://221.210.64.165:2233/hls/12/index.m3u8#http://221.2.146.228:8888/newlive/live/hls/6/live.m3u8#http://140.249.247.163/1142f717c2e0326d526ab914ec68dd30.v.smtcdns.net/t-fjnetv51.live.bestvcdn.com.cn/live/program/live/cctv58m/8000000/mnf.m3u8#http://php.jdshipin.com:8880/bst.php?id=cctv5hd/4000000#http://39.134.24.161/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226395/index.m3u8?#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226395/1.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225818/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://218.17.205.210:9901/tsfile/live/0126_1.m3u8#http://27.185.2.92:9901/hls/101/index.m3u8#http://59.55.35.92:20000/hls/2/index.m3u8#http://120.7.86.15:808/hls/16/index.m3u8#http://58.57.21.166:9901/tsfile/live/0016_1.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225507/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225761/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://222.173.147.142:8888/newlive/live/hls/8/live.m3u8#http://222.188.68.38:8888/newlive/live/hls/7/live.m3u8#http://101.71.176.182:8888/newlive/live/hls/8/live.m3u8#http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022574301.m3u8#http://60.211.167.226:8888/newlive/live/hls/8/live.m3u8#http://221.1.210.106:8053/tsfile/live/0006_1.m3u8#http://121.23.184.27:808/hls/6/index.m3u8#http://php.jdshipin.com:8880/bst.php?id=cctv6hd/4000000#http://36.96.38.246:8888/newlive/live/hls/8/live.m3u8#http://110.52.99.109:9901/tsfile/live/faacts/1005_1.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225814/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://60.211.167.226:8888/newlive/live/hls/9/live.m3u8#http://222.173.147.142:8888/newlive/live/hls/9/live.m3u8#http://222.188.68.38:8888/newlive/live/hls/8/live.m3u8#http://124.116.183.146:9901/tsfile/live/0007_1.m3u8#http://125.210.152.19:9123/live/hzgq-cctv7gq-h264.m3u8#http://36.96.38.246:8888/newlive/live/hls/9/live.m3u8#http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576203.m3u8#http://101.71.176.182:8888/newlive/live/hls/9/live.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225671/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://60.211.167.226:8888/newlive/live/hls/10/live.m3u8#http://222.173.147.142:8888/newlive/live/hls/10/live.m3u8#http://222.188.68.38:8888/newlive/live/hls/9/live.m3u8#http://101.71.176.182:8888/newlive/live/hls/10/live.m3u8#http://111.207.22.10:8888/newlive/live/hls/10/live.m3u8#http://221.210.64.165:2233/hls/15/index.m3u8#http://125.210.152.19:9123/live/hzgq-cctv8gq-h264.m3u8#http://58.19.38.233:8888/newlive/live/hls/10/live.m3u8#http://36.96.38.246:8888/newlive/live/hls/10/live.m3u8#http://101.19.60.244:9901/tsfile/live/0008_1.m3u8#http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576103.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225795/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226012/1.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226391/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://60.211.167.226:8888/newlive/live/hls/11/live.m3u8#http://222.173.147.142:8888/newlive/live/hls/11/live.m3u8#http://222.189.51.62:8888/newlive/live/hls/9/live.m3u8#http://111.207.22.10:8888/newlive/live/hls/11/live.m3u8#http://221.210.64.165:2233/hls/16/index.m3u8#http://221.2.146.228:8888/newlive/live/hls/10/live.m3u8#http://php.jdshipin.com:8880/bst.php?id=cctv9hd8m/8000000#http://36.96.38.246:8888/newlive/live/hls/11/live.m3u8#http://222.188.68.38:8888/newlive/live/hls/10/live.m3u8#http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022576003.m3u8#http://101.71.176.182:8888/newlive/live/hls/11/live.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226197/index.m3u8?#http://39.134.66.110/PLTV/88888888/224/3221225676/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226197/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://60.211.167.226:8888/newlive/live/hls/12/live.m3u8#http://222.173.147.142:8888/newlive/live/hls/12/live.m3u8#http://125.210.152.19:9123/live/hzgq-cctv10gq-h264.m3u8#http://222.188.68.38:8888/newlive/live/hls/11/live.m3u8#http://222.189.51.62:8888/newlive/live/hls/10/live.m3u8#http://121.23.184.27:808/hls/10/index.m3u8#http://php.jdshipin.com:8880/bst.php?id=cctv10hd/4000000#http://36.96.38.246:8888/newlive/live/hls/12/live.m3u8#http://221.2.146.228:8888/newlive/live/hls/11/live.m3u8#http://101.71.176.182:8888/newlive/live/hls/12/live.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226189/1.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://php.jdshipin.com:8880/bst.php?id=cctv11hd8m/8000000#http://60.211.167.226:8888/newlive/live/hls/13/live.m3u8#http://222.173.147.142:8888/newlive/live/hls/13/live.m3u8#http://125.210.152.19:9123/live/hzgq-cctv11gq-h264.m3u8#http://222.188.68.38:8888/newlive/live/hls/12/live.m3u8#http://101.71.176.182:8888/newlive/live/hls/13/live.m3u8#http://111.207.22.10:8888/newlive/live/hls/13/live.m3u8#http://183.134.3.22:8888/newlive/live/hls/12/live.m3u8#http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575903.m3u8#http://36.96.38.246:8888/newlive/live/hls/13/live.m3u8#http://221.2.146.228:8888/newlive/live/hls/12/live.m3u8
CCTV12,http://60.211.167.226:8888/newlive/live/hls/14/live.m3u8#http://222.188.68.38:8888/newlive/live/hls/13/live.m3u8#http://125.210.152.19:9123/live/hzgq-cctv12gq-h264.m3u8#http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575803.m3u8#http://36.96.38.246:8888/newlive/live/hls/14/live.m3u8#http://183.134.3.22:8888/newlive/live/hls/13/live.m3u8#http://222.173.147.142:8888/newlive/live/hls/14/live.m3u8#http://101.71.176.182:8888/newlive/live/hls/14/live.m3u8#https://epg.pw/stream/06025da15ba23cad6264166f6216c1cfb7f9bd2e1e759e6eab92ed6fb62f7daa.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225669/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://60.211.167.226:8888/newlive/live/hls/15/live.m3u8#http://222.188.68.38:8888/newlive/live/hls/14/live.m3u8#http://125.210.152.19:9123/live/hzgq-cctvnewsgq-h264.m3u8#http://php.jdshipin.com:8880/bst.php?id=cctv13#https://live-play.cctvnews.cctv.com/cctv/merge_cctv13.m3u8?auth_key=1635962688#http://58.19.38.233:8888/newlive/live/hls/15/live.m3u8#http://36.96.38.246:8888/newlive/live/hls/15/live.m3u8#http://111.207.22.10:8888/newlive/live/hls/15/live.m3u8#http://222.173.147.142:8888/newlive/live/hls/15/live.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://php.jdshipin.com:8880/bst.php?id=cctvsehd/4000000#http://60.211.167.226:8888/newlive/live/hls/16/live.m3u8#http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575603.m3u8#http://222.173.147.142:8888/newlive/live/hls/16/live.m3u8#http://125.210.152.19:9123/live/hzgq-cctvsegq-h264.m3u8#http://222.188.68.38:8888/newlive/live/hls/15/live.m3u8#http://222.189.51.62:8888/newlive/live/hls/14/live.m3u8#http://111.207.22.10:8888/newlive/live/hls/16/live.m3u8#http://121.23.184.27:808/hls/14/index.m3u8#http://36.96.38.246:8888/newlive/live/hls/16/live.m3u8#http://101.71.176.182:8888/newlive/live/hls/16/live.m3u8#http://39.134.66.110/PLTV/88888888/224/3221225674/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575503.m3u8#http://60.208.113.114:8001/newlive/live/hls/16/live.m3u8#http://60.211.167.226:8888/newlive/live/hls/17/live.m3u8#http://111.207.22.10:8888/newlive/live/hls/17/live.m3u8#http://58.19.38.233:8888/newlive/live/hls/17/live.m3u8#http://101.71.176.182:8888/newlive/live/hls/17/live.m3u8#http://36.96.38.246:8888/newlive/live/hls/17/live.m3u8#http://222.173.147.142:8888/newlive/live/hls/17/live.m3u8#http://222.188.68.38:8888/newlive/live/hls/16/live.m3u8
CCTV16,http://php.jdshipin.com:8880/bst.php?id=cctv16hd8m/8000000#http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575103.m3u8#https://epg.pw/stream/9eeb49b6d1048ea7c05421a7409300f43ed5695e937a78feb1cc9eb1cb4de5b4.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221226921/1.m3u8#http://140.249.247.163/1142f717c2e0326d526ab914ec68dd30.v.smtcdns.net/t-fjnetv51.live.bestvcdn.com.cn/live/program/live/cctv16hd8m/8000000/mnf.m3u8#http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888890/224/3221226921/index.m3u8#http://222.188.68.38:8888/newlive/live/hls/17/live.m3u8#http://222.189.51.62:8888/newlive/live/hls/16/live.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV16-4K,https://live.v1.mk/api/bestv.php?id=cctv16hd4k/15000000#http://202208201800.iptv.z-link.cn:8800/tsfile/live/0018_1.m3u8#https://live.goodiptv.club/api/cqyx.php?id=CCTV16_4K
CCTV17,http://php.jdshipin.com:8880/bst.php?id=cctv17hd8m/8000000#http://125.210.152.19:9123/live/hzgq-cctv17gq-h264.m3u8#http://222.188.68.38:8888/newlive/live/hls/18/live.m3u8#http://222.189.51.62:8888/newlive/live/hls/17/live.m3u8#https://epg.pw/stream/dddefc79612b67b3cf82b2c6e138c410f87628a60ce50a269f6e8dec056c23a8.m3u8#http://43.141.130.70/hlslive-tx-cdn.ysp.cctv.cn/ysp/2022575303.m3u8#http://159.75.85.63:5678/zb.php?id=douyin#http://39.134.66.110/PLTV/88888888/224/3221225708/index.m3u8#http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CHC高清电影,http://182.107.188.104:8888/newlive/live/hls/55/live.m3u8
CHC家庭影院,http://182.107.188.104:8888/newlive/live/hls/56/live.m3u8
CHC动作电影,http://182.107.188.104:8888/newlive/live/hls/57/live.m3u8
CGTN,http://39.134.24.162/dbiptv.sn.chinamobile.com/PLTV/88888888/224/3221225745/1.m3u8
